,rank,count
먹다,1,37
하다,2,87
있다,3,18
않다,4,25
소스,5,6
아니다,6,18
이다,7,27
보다,8,19
되다,9,14
맛있다,10,22
아쉽다,11,8
이렇다,12,6
알다,13,6
주문,14,5
좋다,15,9
넣다,16,5
기억,17,6
껍질,18,4
예약,19,4
되어다,20,2
지금,21,2
아내,22,2
어울리다,23,2
방법,24,2
다양하다,25,2
이집,26,8
많다,27,7
퍽퍽,28,3
게다가,29,5
평범하다,30,5
리뷰,31,5
없다,32,17
정말,33,13
괜찮다,34,9
레스토랑,35,7
와인,36,5
들다,37,6
같다,38,17
자다,39,7
주다,40,10
