,rank,count
하다,1,1003
있다,2,465
먹다,3,654
좋다,4,474
않다,5,226
되다,6,180
보다,7,179
맛있다,8,564
아니다,9,113
메뉴,10,198
없다,11,184
같다,12,191
자다,13,140
나오다,14,184
싶다,15,122
들다,16,112
이다,17,255
소스,18,118
느낌,19,125
재료,20,84
주문,21,89
정도,22,94
되어다,23,59
느끼다,24,54
방문,25,142
만들다,26,50
버터,27,56
좋아하다,28,85
생각,29,95
가다,30,142
하나,31,143
요리,32,164
음식,33,122
새우,34,70
차다,35,33
살짝,36,59
식감,37,59
아주,38,70
주다,39,54
오다,40,102
