,rank,count
맛있다,1,46
하다,2,90
먹다,3,52
나오다,4,27
좋다,5,39
자다,6,15
살짝,7,10
메뉴,8,10
방문,9,19
없다,10,17
생각,11,13
있다,12,18
아쉽다,13,13
사실,14,5
같다,15,17
많다,16,8
알다,17,4
모르다,18,6
파스타,19,13
이다,20,20
아니다,21,23
주문,22,16
음식,23,15
아뮤즈,24,4
트러플,25,9
요리,26,22
좋아하다,27,8
레스토랑,28,4
들다,29,12
디저트,30,11
크다,31,5
익히다,32,4
않다,33,19
따다,34,4
만들다,35,2
당연하다,36,2
버섯,37,4
감흥,38,2
식감,39,8
작다,40,3
