,ID,Date-Time,Flag,Latitude,Longitude
0,2,2021-07-02 10:47:15.00,1,3622.90922,12721.98207
1,2,2021-07-02 10:47:15.10,1,3622.90922,12721.98205
2,2,2021-07-02 10:47:15.20,1,3622.90922,12721.98205
3,2,2021-07-02 10:47:15.30,1,3622.90923,12721.98204
4,2,2021-07-02 10:47:15.40,1,3622.90924,12721.98203
5,2,2021-07-02 10:47:15.50,1,3622.90924,12721.98203
6,2,2021-07-02 10:47:15.60,1,3622.90924,12721.98202
7,2,2021-07-02 10:47:15.70,1,3622.90926,12721.98202
8,2,2021-07-02 10:47:15.80,1,3622.90932,12721.98203
9,2,2021-07-02 10:47:15.90,1,3622.90931,12721.98203
10,2,2021-07-02 10:47:16.00,1,3622.90929,12721.98203
11,2,2021-07-02 10:47:16.10,1,3622.90926,12721.98201
12,2,2021-07-02 10:47:16.20,1,3622.90924,12721.98201
13,2,2021-07-02 10:47:16.30,1,3622.90921,12721.98201
14,2,2021-07-02 10:47:16.40,1,3622.90919,12721.98199
15,2,2021-07-02 10:47:16.50,1,3622.90915,12721.98198
16,2,2021-07-02 10:47:16.60,1,3622.90911,12721.98199
17,2,2021-07-02 10:47:16.70,1,3622.90909,12721.982
18,2,2021-07-02 10:47:16.80,1,3622.90905,12721.98198
19,2,2021-07-02 10:47:16.90,1,3622.90902,12721.98199
20,2,2021-07-02 10:47:17.00,1,3622.909,12721.98197
21,2,2021-07-02 10:47:17.10,1,3622.90893,12721.98197
22,2,2021-07-02 10:47:17.20,1,3622.90892,12721.98197
23,2,2021-07-02 10:47:17.30,1,3622.90886,12721.98196
24,2,2021-07-02 10:47:17.40,1,3622.90882,12721.98198
25,2,2021-07-02 10:47:17.50,1,3622.90876,12721.98198
26,2,2021-07-02 10:47:17.60,1,3622.90868,12721.98197
27,2,2021-07-02 10:47:17.70,1,3622.90864,12721.98201
28,2,2021-07-02 10:47:17.80,1,3622.90859,12721.98198
29,2,2021-07-02 10:47:17.90,1,3622.90855,12721.98197
30,2,2021-07-02 10:47:18.00,1,3622.90854,12721.98196
31,2,2021-07-02 10:47:18.10,1,3622.90855,12721.98201
32,2,2021-07-02 10:47:18.20,1,3622.9085,12721.98196
33,2,2021-07-02 10:47:18.30,1,3622.90848,12721.98192
34,2,2021-07-02 10:47:18.40,1,3622.90847,12721.98183
35,2,2021-07-02 10:47:18.50,1,3622.90843,12721.98174
36,2,2021-07-02 10:47:18.60,1,3622.90834,12721.9816
37,2,2021-07-02 10:47:18.70,1,3622.90822,12721.9815
38,2,2021-07-02 10:47:18.80,1,3622.90812,12721.98137
39,2,2021-07-02 10:47:18.90,1,3622.90805,12721.98137
40,2,2021-07-02 10:47:19.00,1,3622.90806,12721.98136
41,2,2021-07-02 10:47:19.10,1,3622.908,12721.98133
42,2,2021-07-02 10:47:19.20,1,3622.90799,12721.98133
43,2,2021-07-02 10:47:19.30,1,3622.90797,12721.98131
44,2,2021-07-02 10:47:19.40,1,3622.90788,12721.98125
45,2,2021-07-02 10:47:19.50,1,3622.90785,12721.98135
46,2,2021-07-02 10:47:19.60,1,3622.90781,12721.98159
47,2,2021-07-02 10:47:19.70,1,3622.90767,12721.98164
48,2,2021-07-02 10:47:19.80,1,3622.90766,12721.98164
49,2,2021-07-02 10:47:19.90,1,3622.90764,12721.98175
50,2,2021-07-02 10:47:20.00,1,3622.90764,12721.98175
51,2,2021-07-02 10:47:20.10,1,3622.90762,12721.98169
52,2,2021-07-02 10:47:20.20,1,3622.90758,12721.98169
53,2,2021-07-02 10:47:20.30,1,3622.9075,12721.98167
54,2,2021-07-02 10:47:20.40,1,3622.90745,12721.98167
55,2,2021-07-02 10:47:20.50,1,3622.90742,12721.98165
56,2,2021-07-02 10:47:20.60,1,3622.9075,12721.98166
