,ID,Date-Time,Flag,Latitude,Longitude
0,8,2021-07-02 10:57:16.90,1,3622.75435,12721.85976
1,8,2021-07-02 10:57:17.00,1,3622.75453,12721.85949
2,8,2021-07-02 10:57:17.10,1,3622.75422,12721.85978
3,8,2021-07-02 10:57:17.20,1,3622.75406,12721.85995
4,8,2021-07-02 10:57:17.30,1,3622.75406,12721.85987
5,8,2021-07-02 10:57:17.40,1,3622.75414,12721.85983
6,8,2021-07-02 10:57:17.50,1,3622.75402,12721.86001
7,8,2021-07-02 10:57:17.60,1,3622.75384,12721.86015
8,8,2021-07-02 10:57:17.70,1,3622.75364,12721.86035
9,8,2021-07-02 10:57:17.80,1,3622.75352,12721.86049
10,8,2021-07-02 10:57:17.90,1,3622.75363,12721.86046
11,8,2021-07-02 10:57:18.00,1,3622.75367,12721.86048
12,8,2021-07-02 10:57:18.10,1,3622.75353,12721.86062
13,8,2021-07-02 10:57:18.20,1,3622.75344,12721.86077
14,8,2021-07-02 10:57:18.30,1,3622.75319,12721.86091
15,8,2021-07-02 10:57:18.40,1,3622.75291,12721.86111
16,8,2021-07-02 10:57:18.50,1,3622.75279,12721.86127
17,8,2021-07-02 10:57:18.60,1,3622.75299,12721.86134
18,8,2021-07-02 10:57:18.70,1,3622.75319,12721.86128
19,8,2021-07-02 10:57:18.80,1,3622.75309,12721.86135
20,8,2021-07-02 10:57:18.90,1,3622.75301,12721.86142
21,8,2021-07-02 10:57:19.00,1,3622.75309,12721.86147
22,8,2021-07-02 10:57:19.10,1,3622.75293,12721.86153
23,8,2021-07-02 10:57:19.20,1,3622.75287,12721.86163
24,8,2021-07-02 10:57:19.30,1,3622.75291,12721.86168
25,8,2021-07-02 10:57:19.40,1,3622.75259,12721.86191
26,8,2021-07-02 10:57:19.50,1,3622.75252,12721.86208
27,8,2021-07-02 10:57:19.60,1,3622.75271,12721.86203
28,8,2021-07-02 10:57:19.70,1,3622.75243,12721.8622
29,8,2021-07-02 10:57:19.80,1,3622.75242,12721.86219
30,8,2021-07-02 10:57:19.90,1,3622.75248,12721.86214
31,8,2021-07-02 10:57:20.00,1,3622.75268,12721.86202
32,8,2021-07-02 10:57:20.10,1,3622.75264,12721.862
33,8,2021-07-02 10:57:20.20,1,3622.75268,12721.862
34,8,2021-07-02 10:57:20.30,1,3622.75272,12721.86197
35,8,2021-07-02 10:57:20.40,1,3622.75261,12721.86217
36,8,2021-07-02 10:57:20.50,1,3622.75252,12721.86238
37,8,2021-07-02 10:57:20.60,1,3622.75243,12721.86257
38,8,2021-07-02 10:57:20.70,1,3622.7522,12721.86279
39,8,2021-07-02 10:57:20.80,1,3622.75211,12721.8627
40,8,2021-07-02 10:57:20.90,1,3622.75213,12721.86271
41,8,2021-07-02 10:57:21.00,1,3622.75213,12721.86275
42,8,2021-07-02 10:57:21.10,1,3622.75214,12721.86269
43,8,2021-07-02 10:57:21.20,1,3622.7523,12721.86253
44,8,2021-07-02 10:57:21.30,1,3622.75238,12721.86254
45,8,2021-07-02 10:57:21.40,1,3622.75243,12721.86261
46,8,2021-07-02 10:57:21.50,1,3622.75257,12721.8627
47,8,2021-07-02 10:57:21.60,1,3622.75272,12721.86282
48,8,2021-07-02 10:57:21.70,1,3622.75285,12721.86294
49,8,2021-07-02 10:57:21.80,1,3622.7527,12721.86313
50,8,2021-07-02 10:57:21.90,1,3622.75234,12721.86334
51,8,2021-07-02 10:57:22.00,1,3622.75214,12721.86351
52,8,2021-07-02 10:57:22.10,1,3622.75216,12721.86356
53,8,2021-07-02 10:57:22.20,1,3622.75216,12721.86356
54,8,2021-07-02 10:57:22.30,1,3622.75227,12721.86354
55,8,2021-07-02 10:57:22.40,1,3622.75236,12721.86353
56,8,2021-07-02 10:57:22.50,1,3622.75205,12721.86372
57,8,2021-07-02 10:57:22.60,1,3622.75227,12721.86363
58,8,2021-07-02 10:57:22.70,1,3622.75219,12721.86363
59,8,2021-07-02 10:57:22.80,1,3622.75196,12721.86356
60,8,2021-07-02 10:57:22.90,1,3622.75198,12721.8633
61,8,2021-07-02 10:57:23.00,1,3622.75189,12721.86319
62,8,2021-07-02 10:57:23.10,1,3622.75166,12721.863
63,8,2021-07-02 10:57:23.20,1,3622.7517,12721.86309
64,8,2021-07-02 10:57:23.30,1,3622.75155,12721.86323
65,8,2021-07-02 10:57:23.40,1,3622.75167,12721.86312
66,8,2021-07-02 10:57:23.50,1,3622.75147,12721.86314
67,8,2021-07-02 10:57:23.60,1,3622.75174,12721.86289
68,8,2021-07-02 10:57:23.70,1,3622.75181,12721.86285
69,8,2021-07-02 10:57:23.80,1,3622.75199,12721.86292
70,8,2021-07-02 10:57:23.90,1,3622.75162,12721.86344
71,8,2021-07-02 10:57:24.00,1,3622.75155,12721.86364
72,8,2021-07-02 10:57:24.10,1,3622.75118,12721.86398
73,8,2021-07-02 10:57:24.20,1,3622.75109,12721.86393
74,8,2021-07-02 10:57:24.30,1,3622.751,12721.86405
75,8,2021-07-02 10:57:24.40,1,3622.75127,12721.86407
76,8,2021-07-02 10:57:24.50,1,3622.75143,12721.86399
77,8,2021-07-02 10:57:24.60,1,3622.75147,12721.864
78,8,2021-07-02 10:57:24.70,1,3622.75148,12721.86407
79,8,2021-07-02 10:57:24.80,1,3622.75132,12721.86426
80,8,2021-07-02 10:57:24.90,1,3622.75137,12721.86445
81,8,2021-07-02 10:57:25.00,1,3622.75149,12721.8648
82,8,2021-07-02 10:57:25.10,1,3622.75137,12721.86498
83,8,2021-07-02 10:57:25.20,1,3622.75113,12721.865
84,8,2021-07-02 10:57:25.30,1,3622.75121,12721.86501
