,ID,Date-Time,Flag,Latitude,Longitude
0,5,2021-07-02 10:36:09.90,1,3622.81259,12722.04614
1,5,2021-07-02 10:36:10.00,1,3622.81265,12722.04606
2,5,2021-07-02 10:36:10.10,1,3622.81264,12722.04605
3,5,2021-07-02 10:36:10.20,1,3622.81263,12722.04604
4,5,2021-07-02 10:36:10.30,1,3622.81258,12722.04607
5,5,2021-07-02 10:36:10.40,1,3622.81255,12722.04609
6,5,2021-07-02 10:36:10.50,1,3622.81252,12722.04612
7,5,2021-07-02 10:36:10.60,1,3622.81248,12722.04615
8,5,2021-07-02 10:36:10.70,1,3622.81244,12722.04617
9,5,2021-07-02 10:36:10.80,1,3622.8124,12722.04619
10,5,2021-07-02 10:36:10.90,1,3622.81235,12722.04621
11,5,2021-07-02 10:36:11.00,1,3622.81231,12722.04623
12,5,2021-07-02 10:36:11.10,1,3622.81228,12722.04625
13,5,2021-07-02 10:36:11.20,1,3622.81223,12722.04628
14,5,2021-07-02 10:36:11.30,1,3622.81221,12722.04627
15,5,2021-07-02 10:36:11.40,1,3622.81218,12722.04626
16,5,2021-07-02 10:36:11.50,1,3622.81215,12722.04629
17,5,2021-07-02 10:36:11.60,1,3622.81207,12722.04636
18,5,2021-07-02 10:36:11.70,1,3622.81199,12722.04642
19,5,2021-07-02 10:36:11.80,1,3622.81191,12722.04648
20,5,2021-07-02 10:36:11.90,1,3622.81187,12722.04654
21,5,2021-07-02 10:36:12.00,1,3622.81182,12722.04662
22,5,2021-07-02 10:36:12.10,1,3622.81178,12722.04669
23,5,2021-07-02 10:36:12.20,1,3622.81174,12722.04675
24,5,2021-07-02 10:36:12.30,1,3622.81171,12722.04681
25,5,2021-07-02 10:36:12.40,1,3622.81167,12722.04689
26,5,2021-07-02 10:36:12.50,1,3622.81166,12722.04697
27,5,2021-07-02 10:36:12.60,1,3622.81155,12722.04705
28,5,2021-07-02 10:36:12.70,1,3622.8116,12722.04709
29,5,2021-07-02 10:36:12.80,1,3622.81163,12722.04716
30,5,2021-07-02 10:36:12.90,1,3622.81158,12722.04711
31,5,2021-07-02 10:36:13.00,1,3622.81153,12722.0471
32,5,2021-07-02 10:36:13.10,1,3622.8115,12722.04714
33,5,2021-07-02 10:36:13.20,1,3622.81148,12722.0471
34,5,2021-07-02 10:36:13.30,1,3622.81144,12722.04712
35,5,2021-07-02 10:36:13.40,1,3622.81137,12722.04716
36,5,2021-07-02 10:36:13.50,1,3622.81145,12722.0472
37,5,2021-07-02 10:36:13.60,1,3622.81153,12722.04725
38,5,2021-07-02 10:36:13.70,1,3622.81153,12722.04722
39,5,2021-07-02 10:36:13.80,1,3622.81158,12722.04722
40,5,2021-07-02 10:36:13.90,1,3622.81166,12722.04718
41,5,2021-07-02 10:36:14.00,1,3622.81167,12722.04727
42,5,2021-07-02 10:36:14.10,1,3622.81171,12722.04746
43,5,2021-07-02 10:36:14.20,1,3622.81171,12722.04752
44,5,2021-07-02 10:36:14.30,1,3622.81174,12722.04756
45,5,2021-07-02 10:36:14.40,1,3622.81178,12722.04737
46,5,2021-07-02 10:36:14.50,1,3622.81178,12722.04738
47,5,2021-07-02 10:36:14.60,1,3622.81177,12722.04738
48,5,2021-07-02 10:36:14.70,1,3622.81196,12722.04738
49,5,2021-07-02 10:36:14.80,1,3622.81195,12722.04728
50,5,2021-07-02 10:36:14.90,1,3622.812,12722.0473
51,5,2021-07-02 10:36:15.00,1,3622.81196,12722.04722
52,5,2021-07-02 10:36:15.10,1,3622.81195,12722.04728
53,5,2021-07-02 10:36:15.20,1,3622.81209,12722.04733
54,5,2021-07-02 10:36:15.30,1,3622.81208,12722.04737
55,5,2021-07-02 10:36:15.40,1,3622.81213,12722.04737
56,5,2021-07-02 10:36:15.50,1,3622.81215,12722.04736
57,5,2021-07-02 10:36:15.60,1,3622.81219,12722.04731
58,5,2021-07-02 10:36:15.70,1,3622.81218,12722.04725
59,5,2021-07-02 10:36:15.80,1,3622.81222,12722.0472
60,5,2021-07-02 10:36:15.90,1,3622.81236,12722.04713
