,ID,Date-Time,Flag,Latitude,Longitude
84,7,2021-07-02 10:36:18.30,1,3622.80937,12722.05244
85,7,2021-07-02 10:36:18.40,1,3622.80933,12722.05241
86,7,2021-07-02 10:36:18.50,1,3622.80927,12722.05231
87,7,2021-07-02 10:36:18.60,1,3622.80925,12722.05226
88,7,2021-07-02 10:36:18.70,1,3622.80925,12722.05203
89,7,2021-07-02 10:36:18.80,1,3622.80921,12722.05182
90,7,2021-07-02 10:36:18.90,1,3622.80933,12722.05159
91,7,2021-07-02 10:36:19.00,1,3622.80949,12722.05151
92,7,2021-07-02 10:36:19.10,1,3622.80945,12722.05138
93,7,2021-07-02 10:36:19.20,1,3622.8095,12722.05144
94,7,2021-07-02 10:36:19.30,1,3622.80952,12722.05145
95,7,2021-07-02 10:36:19.40,1,3622.80959,12722.05153
96,7,2021-07-02 10:36:19.50,1,3622.80961,12722.05167
97,7,2021-07-02 10:36:19.60,1,3622.80969,12722.0518
98,7,2021-07-02 10:36:19.70,1,3622.8099,12722.05181
99,7,2021-07-02 10:36:19.80,1,3622.81026,12722.05184
100,7,2021-07-02 10:36:19.90,1,3622.81076,12722.052
101,7,2021-07-02 10:36:20.00,1,3622.81167,12722.05232
102,7,2021-07-02 10:36:20.10,1,3622.81203,12722.05238
103,7,2021-07-02 10:36:20.20,1,3622.81202,12722.05249
104,7,2021-07-02 10:36:20.30,1,3622.81215,12722.0524
105,7,2021-07-02 10:36:20.40,1,3622.81227,12722.05231
106,7,2021-07-02 10:36:20.50,1,3622.81244,12722.05227
107,7,2021-07-02 10:36:20.60,1,3622.81253,12722.05231
108,7,2021-07-02 10:36:20.70,1,3622.8125,12722.05226
109,7,2021-07-02 10:36:20.80,1,3622.81258,12722.05212
110,7,2021-07-02 10:36:20.90,1,3622.81306,12722.05206
111,7,2021-07-02 10:36:21.00,1,3622.81348,12722.05211
112,7,2021-07-02 10:36:21.10,1,3622.81361,12722.05206
113,7,2021-07-02 10:36:21.20,1,3622.81365,12722.05204
114,7,2021-07-02 10:36:21.30,1,3622.81369,12722.05208
115,7,2021-07-02 10:36:21.40,1,3622.81367,12722.05205
116,7,2021-07-02 10:36:21.50,1,3622.81376,12722.05202
117,7,2021-07-02 10:36:21.60,1,3622.81384,12722.05195
118,7,2021-07-02 10:36:21.70,1,3622.81392,12722.05185
119,7,2021-07-02 10:36:21.80,1,3622.81393,12722.05174
120,7,2021-07-02 10:36:21.90,1,3622.81365,12722.05145
121,7,2021-07-02 10:36:22.00,1,3622.81371,12722.05149
122,7,2021-07-02 10:36:22.10,1,3622.81395,12722.05145
123,7,2021-07-02 10:36:22.20,1,3622.81403,12722.05148
124,7,2021-07-02 10:36:22.30,1,3622.81402,12722.05148
125,7,2021-07-02 10:36:22.40,1,3622.81404,12722.05145
126,7,2021-07-02 10:36:22.50,1,3622.81415,12722.05152
127,7,2021-07-02 10:36:22.60,1,3622.81421,12722.05165
128,7,2021-07-02 10:36:22.70,1,3622.81415,12722.05168
129,7,2021-07-02 10:36:22.80,1,3622.81436,12722.05175
130,7,2021-07-02 10:36:22.90,1,3622.81441,12722.05171
131,7,2021-07-02 10:36:23.00,1,3622.81444,12722.05167
132,7,2021-07-02 10:36:23.10,1,3622.81478,12722.05179
133,7,2021-07-02 10:36:23.20,1,3622.81491,12722.05186
134,7,2021-07-02 10:36:23.30,1,3622.81486,12722.05182
135,7,2021-07-02 10:36:23.40,1,3622.81486,12722.05181
136,7,2021-07-02 10:36:23.50,1,3622.8149,12722.05186
137,7,2021-07-02 10:36:23.60,1,3622.81483,12722.05177
138,7,2021-07-02 10:36:23.70,1,3622.81489,12722.05179
