본인이 관심있는 장르는 무엇입니까? (복수 응답),a1. 너무 싸서 품질이 의심스러운 가격은 얼마부터 입니까? [가격],a2. 싸다고 느끼기 시작하는 가격은 얼마부터 입니까? (본인이 생각하기에 괜찮은 가격) [가격],a3. 비싸다고 느끼기 시작하는 가격은 얼마부터 입니까? (비싸다고 생각하지만 아직 살만한 가격) [가격],a4. 아무리 품질이 좋더라도 너무 비싸서 살 수 없는 가격은 얼마부터 입니까? [가격],b1. 너무 싸서 품질이 의심스러운 가격은 얼마부터 입니까? [가격],b2. 싸다고 느끼기 시작하는 가격은 얼마부터 입니까? (본인이 생각하기에 괜찮은 가격) [가격],b3. 비싸다고 느끼기 시작하는 가격은 얼마부터 입니까? (비싸다고 생각하지만 아직 살만한 가격) [가격],b4. 아무리 품질이 좋더라도 너무 비싸서 살 수 없는 가격은 얼마부터 입니까? [가격],c1. 너무 싸서 품질이 의심스러운 가격은 얼마부터 입니까? [가격],c2. 싸다고 느끼기 시작하는 가격은 얼마부터 입니까? (본인이 생각하기에 괜찮은 가격) [가격],c3. 비싸다고 느끼기 시작하는 가격은 얼마부터 입니까? (비싸다고 생각하지만 아직 살만한 가격) [가격],c4. 아무리 품질이 좋더라도 너무 비싸서 살 수 없는 가격은 얼마부터 입니까? [가격],d1. 너무 싸서 품질이 의심스러운 가격은 얼마부터 입니까? [가격],d2. 싸다고 느끼기 시작하는 가격은 얼마부터 입니까? (본인이 생각하기에 괜찮은 가격) [가격],d3. 비싸다고 느끼기 시작하는 가격은 얼마부터 입니까? (비싸다고 생각하지만 아직 살만한 가격) [가격],d4. 아무리 품질이 좋더라도 너무 비싸서 살 수 없는 가격은 얼마부터 입니까? [가격],위 네개의 OTT 서비스중에 가장 사용하고싶은 서비스 하나를 골라주세요,OTT 서비스에 관해서 하고싶은 말씀이 있으시면 간략하게 적어주세요. (본인이 원하는 형태의 OTT 서비스 등)
국내 드라마;국내 예능;국내 영화;해외 영화,5000 원,7000 원,10000 원,13000 원,5000 원,7000 원,10000 원,13000 원,5000 원,5000 원,5000 원,5000 원,5000 원,7000 원,8500 원,13000 원,Netflix (넷플릭스),
국내 드라마;국내 예능;해외 영화,5000 원,5500 월,6500 원,6500 원,5000 원,6500 원,6500 원,6500 원,5000 원,6500 원,6500 원,6500 원,5000 원,6500 원,6500 원,6500 원,Netflix (넷플릭스),
해외 드라마;해외 영화,6000 원,6500 원,12000 원,13000 원,5000 원,5000 원,10000 원,10500 원,5000 원,5500 월,11000 원,12000 원,5000 원,6000 원,11000 원,12000 원,Youtube Premium (유튜브 프리미엄),
국내 드라마;국내 예능;국내 영화;해외 영화,5000 원,6000 원,9000 원,13000 원,5000 원,6000 원,10000 원,12000 원,5000 원,6500 원,10000 원,12000 원,5000 원,6000 원,9000 원,12000 원,Netflix (넷플릭스),
국내 예능;해외 드라마,5000 원,5000 원,5500 월,6000 원,5000 원,5500 월,6000 원,6000 원,5000 원,5000 원,5500 월,6000 원,5000 원,5000 원,5500 월,6000 원,Netflix (넷플릭스),
국내 영화;해외 영화,6000 원,6000 원,11500 원,13000 원,7500 원,7500 원,12500 원,13000 원,5500 월,5500 월,9000 원,10000 원,5000 원,5000 원,6500 원,7000 원,Netflix (넷플릭스),
국내 드라마;해외 영화,5000 원,8000 원,10500 원,12500 원,5000 원,8000 원,10000 원,12000 원,5000 원,8500 원,10000 원,12000 원,5000 원,8000 원,10500 원,12000 원,Netflix (넷플릭스),
국내 드라마;해외 영화,5000 원,6000 원,12000 원,13000 원,5000 원,6000 원,10000 원,13000 원,5000 원,5500 월,8000 원,13000 원,5000 원,6000 원,9000 원,13000 원,Netflix (넷플릭스),
아니메,5000 원,6000 원,8000 원,10500 원,5000 원,6000 원,8000 원,10000 원,5000 원,5000 원,5500 월,8000 원,5000 원,5000 원,6000 원,8000 원,Youtube Premium (유튜브 프리미엄),
,,,,,,,,,,,,,,,,,,
,33,10,3,2,33,11,3,2,32,15,3,4,33,17,4,5,,
,2,6,2,1,4,6,1,1,5,8,3,1,3,3,4,2,,
,4,13,4,1,1,11,5,1,2,8,7,3,2,9,6,2,,
,0,2,2,4,0,2,4,5,0,3,2,4,0,3,3,4,,
,1,5,2,1,1,5,2,1,0,4,0,2,2,3,0,3,,
,0,0,4,0,1,1,3,1,0,0,2,0,0,1,3,0,,
,0,3,4,1,0,3,6,1,1,0,8,2,0,4,3,2,,
,0,0,0,3,0,0,0,4,0,1,0,2,0,0,1,2,,
,0,0,3,1,0,1,0,1,0,0,2,2,0,0,4,1,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,0,1,7,4,0,0,9,5,0,0,8,4,0,0,6,4,,
,0,0,2,4,0,0,1,2,0,0,2,2,0,0,3,1,,
,0,0,0,1,0,0,2,1,0,1,1,0,0,0,1,1,,
,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,0,0,5,3,0,0,2,5,0,0,0,8,0,0,0,7,,
,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,
,0,0,1,13,0,0,1,10,0,0,2,6,0,0,2,6,,
,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,,
