,rank,count
메뉴,1,198
없다,2,184
같다,3,191
자다,4,140
나오다,5,184
싶다,6,122
들다,7,112
소스,8,118
느낌,9,125
재료,10,84
주문,11,89
정도,12,94
되어다,13,59
느끼다,14,54
방문,15,142
만들다,16,50
버터,17,56
인데,18,75
생각,19,95
좋아하다,20,85
가다,21,142
하나,22,143
까지,23,91
요리,24,164
음식,25,122
차다,26,33
새우,27,70
살짝,28,59
식감,29,59
아주,30,70
주다,31,54
오다,32,102
부드럽다,33,75
고구마,34,34
가격,35,102
시키다,36,109
추천,37,100
식당,38,56
들어가다,39,62
샐러드,40,72
