,rank,count
소스,1,6
아쉽다,2,8
주문,3,5
이렇다,4,6
알다,5,6
넣다,6,5
기억,7,6
껍질,8,4
예약,9,4
까지,10,6
이라고는,11,2
아내,12,2
어울리다,13,2
지금,14,2
되어다,15,2
방법,16,2
다양하다,17,2
이집,18,8
많다,19,7
퍽퍽,20,3
게다가,21,5
평범하다,22,5
인데,23,8
리뷰,24,5
없다,25,17
정말,26,13
괜찮다,27,9
레스토랑,28,7
와인,29,5
같다,30,17
들다,31,6
만의,32,4
주다,33,10
자다,34,7
가다,35,10
스타일,36,5
분위기,37,4
때문,38,3
가족,39,5
저녁,40,7
