,rank,count
나오다,1,27
살짝,2,10
자다,3,15
생각,4,13
방문,5,19
없다,6,17
메뉴,7,10
같다,8,17
아쉽다,9,13
사실,10,5
많다,11,8
알다,12,4
모르다,13,6
파스타,14,13
주문,15,16
요리,16,22
음식,17,15
트러플,18,9
좋아하다,19,8
인데,20,5
아뮤즈,21,4
들다,22,12
레스토랑,23,4
디저트,24,11
크다,25,5
익히다,26,4
따다,27,4
조금,28,9
만들다,29,2
감흥,30,2
버섯,31,4
당연하다,32,2
작다,33,3
감다,34,4
올리다,35,6
식감,36,8
유명하다,37,3
차다,38,4
랍스터,39,3
역시,40,7
